trick_number,trick_name,stance,part,caption_seconds,family,subfamily,modifiers,sibling_key,youtube_url
630,switch front foot impossible late flip frontside 180,Switch,7,109.3,Impossible,None,Late|Front Foot|Frontside|180,front foot impossible late flip frontside 180,https://www.youtube.com/watch?v=xyqJWofmzu4
631,fakie 360 flip rewind,Fakie,7,112.2,Kickflips,360 Flip / Tre,Rewind|360,360 flip rewind,https://www.youtube.com/watch?v=xyqJWofmzu4
632,cancel heel frontside body varial,Regular,7,115.4,Heelflips,Heelflip,Late|Cancel|Body Varial|Frontside,cancel heel frontside body varial,https://www.youtube.com/watch?v=xyqJWofmzu4
633,switch cancel flip,Switch,7,117.9,Kickflips,Kickflip,Late|Cancel,cancel flip,https://www.youtube.com/watch?v=xyqJWofmzu4
634,360 shuv underflip crossfoot,Regular,7,122.7,Shuv-its,Shuv-it,Crossfoot|360|Underflip,360 shuv underflip crossfoot,https://www.youtube.com/watch?v=xyqJWofmzu4
635,switch pressure half flip cancel flip,Switch,7,127.1,Kickflips,Kickflip,Pressure|Late|Cancel|Half,pressure half flip cancel flip,https://www.youtube.com/watch?v=xyqJWofmzu4
636,switch 360 pressure flip,Switch,7,129.4,Kickflips,Kickflip,Pressure|360,360 pressure flip,https://www.youtube.com/watch?v=xyqJWofmzu4
637,nollie frontside bigspin double flip,Nollie,7,136.2,Kickflips,Bigflip,Double|Frontside,frontside bigspin double flip,https://www.youtube.com/watch?v=xyqJWofmzu4
638,switch forward heel,Switch,7,139,Forward / Dolphin,Forward,,forward heel,https://www.youtube.com/watch?v=xyqJWofmzu4
639,pressure backside 360 heel,Regular,7,141.5,Heelflips,Heelflip,Pressure|Backside|360,pressure backside 360 heel,https://www.youtube.com/watch?v=xyqJWofmzu4
640,pressure backside cancel heel,Regular,7,146.1,Heelflips,Heelflip,Pressure|Late|Cancel|Backside,pressure backside cancel heel,https://www.youtube.com/watch?v=xyqJWofmzu4
641,frontside anti bigspin heel,Regular,7,148.7,Heelflips,Big Heel,Anti|Frontside,frontside anti bigspin heel,https://www.youtube.com/watch?v=xyqJWofmzu4
